2023-05-14 20:05:288 INFO  ElectronicsPage :34 - This method select menu on top menu 
2023-05-14 20:05:299 INFO  ElectronicsPage :24 - get Electronics HeaderText [[ChromeDriver: chrome on WINDOWS (b38139caa13884766313ad94f5f9a16e)] -> xpath: //h1[normalize-space()='Electronics']]
2023-05-14 20:05:451 INFO  HomePage :103 - mouse Hover To Electronic Tab [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-14 20:05:600 INFO  HomePage :112 - mouseHover ToCell Phones And Click [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-14 20:05:708 INFO  CellPhonePage :46 - get Cell Phone Text [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //h1[normalize-space()='Cell phones']]
2023-05-14 20:05:751 INFO  CellPhonePage :54 - click On List ViewIcon [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //h1[normalize-space()='Cell phones']]
2023-05-14 20:05:843 INFO  CellPhonePage :66 - select Phone FromList 
2023-05-14 20:05:849 INFO  CellPhonePage :78 - get Product NameText [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //h1[normalize-space()='Nokia Lumia 1020']]
2023-05-14 20:05:903 INFO  CellPhonePage :90 - get PriceText [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //div[@class='product-price']//span[normalize-space()='$349.00']]
2023-05-14 20:05:944 INFO  CellPhonePage :102 - update Quantity [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //input[@id='product_enteredQuantity_20']]
2023-05-14 20:05:149 INFO  CellPhonePage :113 - click On Add ToCart [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //button[@id='add-to-cart-button-20']]
2023-05-14 20:05:260 INFO  CellPhonePage :125 - get Successfull Added To CartText [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //div[@id='bar-notification']]
2023-05-14 20:05:311 INFO  CellPhonePage :136 - close Notification Bar [[ChromeDriver: chrome on WINDOWS (778122c1f870336b2cb71cd099868f02)] -> xpath: //span[@title='Close']]
